Date,Temperature,Humidity,Precipitation
2023-08-01,32.5,65,0.0
2023-08-02,35.0,60,0.2
2023-08-03,33.2,64,0.0
2023-08-04,34.1,63,0.1
2023-08-05,32.8,65,0.0
2023-08-06,31.5,68,0.0
2023-08-07,30.7,70,0.0
2023-08-08,29.9,72,0.3
2023-08-09,31.4,67,0.0
2023-08-10,32.2,66,0.0
2023-08-11,33.0,65,0.0
2023-08-12,34.5,62,0.2
2023-08-13,35.2,60,0.0
2023-08-14,33.8,64,0.0
2023-08-15,32.7,66,0.1
2023-08-16,31.9,68,0.0
2023-08-17,30.5,70,0.0
2023-08-18,29.8,72,0.4
2023-08-19,31.3,67,0.0
2023-08-20,32.0,65,0.0
2023-08-21,33.5,63,0.2
2023-08-22,34.0,62,0.1
2023-08-23,32.9,65,0.0
2023-08-24,31.6,67,0.0
2023-08-25,30.8,69,0.0
2023-08-26,29.7,73,0.3
2023-08-27,31.2,68,0.0
2023-08-28,32.4,66,0.0
2023-08-29,33.1,64,0.0
2023-08-30,34.6,62,0.2
2023-08-31,35.0,60,0.0
2023-09-01,33.8,63,0.0
2023-09-02,32.5,65,0.0
2023-09-03,31.7,67,0.0
2023-09-04,30.9,69,0.0
2023-09-05,29.6,72,0.4
2023-09-06,31.1,68,0.0
2023-09-07,32.3,66,0.0
2023-09-08,33.0,64,0.1
2023-09-09,34.2,62,0.2
2023-09-10,35.3,60,0.0
2023-09-11,33.7,63,0.0
2023-09-12,32.4,65,0.0
2023-09-13,31.5,67,0.0
2023-09-14,30.7,69,0.0
2023-09-15,29.5,73,0.3
2023-09-16,31.0,68,0.0
2023-09-17,32.1,66,0.0
2023-09-18,33.3,64,0.1
2023-09-19,34.0,63,0.2
2023-09-20,35.1,60,0.0
2023-09-21,33.6,63,0.0
2023-09-22,32.2,65,0.0
2023-09-23,31.4,67,0.0
2023-09-24,30.5,69,0.0
2023-09-25,29.4,72,0.4
2023-09-26,31.0,68,0.0
2023-09-27,32.2,66,0.0
2023-09-28,33.1,64,0.1
2023-09-29,34.3,62,0.2
2023-09-30,35.4,60,0.0
2023-10-01,33.9,63,0.0
2023-10-02,32.7,65,0.0
2023-10-03,31.8,67,0.0
2023-10-04,30.8,69,0.0
2023-10-05,29.7,72,0.3
2023-10-06,31.2,68,0.0
2023-10-07,32.5,66,0.0
2023-10-08,33.3,64,0.1
2023-10-09,34.4,62,0.2
2023-10-10,35.5,60,0.0
2023-10-11,33.7,63,0.0
2023-10-12,32.8,65,0.0
2023-10-13,31.9,67,0.0
2023-10-14,30.9,69,0.0
2023-10-15,29.8,72,0.4
2023-10-16,31.3,68,0.0
2023-10-17,32.4,66,0.0
2023-10-18,33.2,64,0.1
2023-10-19,34.5,62,0.2
2023-10-20,35.6,60,0.0
2023-10-21,33.9,63,0.0
2023-10-22,32.5,65,0.0
2023-10-23,31.7,67,0.0
2023-10-24,30.8,69,0.0
2023-10-25,29.6,72,0.3
2023-10-26,31.1,68,0.0
2023-10-27,32.3,66,0.0
2023-10-28,33.4,64,0.1
2023-10-29,34.6,62,0.2
2023-10-30,35.7,60,0.0
2023-10-31,34.0,63,0.0
2023-11-01,32.8,65,0.0
2023-11-02,31.9,67,0.0
2023-11-03,30.9,69,0.0
2023-11-04,29.8,72,0.4
2023-11-05,31.3,68,0.0
2023-11-06,32.5,66,0.0
2023-11-07,33.6,64,0.1
2023-11-08,34.8,62,0.2
